deployment_priority,zone_name,police_station,risk_tier_v5,congestion_score_v5,daily_rate,blockage_pct,patrol_type,officer_count,tow_unit,shift_window,expected_impact,deployment_note,context_tags,near_metro,near_event_venue,metro_dist_m,event_dist_m,enforcement_shift,is_corridor
1,Safina Plaza Junction,Shivajinagar,CRITICAL,100.0,89.1,15.8,Mobile patrol,3,True,7:00 PM – 1:00 AM,35–50% blockage reduction,Continuous circuit; coordinate with tow unit at corridor entry points,General,False,False,558.0,990.0,Evening + night (7pm–midnight),True
12,Modi Bridge Junction,Malleshwaram,HIGH,72.8,32.3,15.4,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,3571.0,1311.0,Late night (11pm–4am),True
13,Mahadevapura area,Mahadevapura,HIGH,72.5,15.4,23.5,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,2806.0,2117.0,Late night (11pm–4am),True
14,Halasur area,Halasur,HIGH,71.5,4.1,21.7,Static post (peak only),1,False,11:00 PM – 5:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,Metro zone,True,False,304.0,2398.0,Late night (11pm–4am),True
15,Urvashi Theater,Wilson Garden,HIGH,71.3,5.4,20.9,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,1822.0,1696.0,Late night (11pm–4am),True
16,Gopal Gowda Circle,Cubbon Park,HIGH,71.2,7.3,15.9,Static post (peak only),1,False,11:00 PM – 5:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,"Metro zone, Event venue",True,True,29.0,61.0,Late night (11pm–4am),True
17,Malleshwaram area,Malleshwaram,HIGH,71.1,17.0,19.6,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,2160.0,2023.0,Evening + night (7pm–midnight),True
18,K.R. Pura area,K.R. Pura,HIGH,69.5,23.1,18.6,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,3753.0,1264.0,Evening + night (7pm–midnight),True
19,LRDE Junction,High ground,HIGH,69.1,3.9,18.1,Static post (peak only),1,False,11:00 PM – 5:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,Event venue,False,True,536.0,408.0,Late night (11pm–4am),True
20,HAL Old Airport area,HAL Old Airport,HIGH,67.5,59.9,12.3,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,4606.0,1024.0,Late night (11pm–4am),True
21,Hebbala area,Hebbala,HIGH,66.9,20.8,13.8,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,885.0,1068.0,Evening + night (7pm–midnight),True
22,RRMR Junction,Halasuru Gate,HIGH,66.3,4.0,25.7,Static post (peak only),1,False,7:00 PM – 1:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,"Metro zone, Event venue",True,True,360.0,403.0,Evening + night (7pm–midnight),True
23,"Cash Pharmacy, Residency Road",Ashok Nagar,HIGH,66.2,3.4,24.0,Static post (peak only),1,False,11:00 PM – 5:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,Metro zone,True,False,241.0,791.0,Late night (11pm–4am),True
24,Yeshwanthpura area,Yeshwanthpura,HIGH,65.9,5.6,21.4,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,6391.0,2965.0,Late night (11pm–4am),True
25,Rajajinagar area,Rajajinagar,HIGH,65.9,4.3,31.4,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,6089.0,3178.0,Evening + night (7pm–midnight),True
26,Shivananda Circle,High ground,HIGH,65.0,5.0,22.6,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,1107.0,1618.0,Late night (11pm–4am),True
27,"New Diagonal Road, Jayanagar",Jayanagara,HIGH,64.8,12.1,15.9,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,4896.0,2195.0,Evening + night (7pm–midnight),True
28,HAL Old Airport area,HAL Old Airport,HIGH,64.4,6.4,28.5,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,3474.0,1377.0,Late night (11pm–4am),True
29,HSR Layout area,HSR Layout,HIGH,64.2,3.4,22.9,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,559.0,906.0,Evening + night (7pm–midnight),True
30,Windsor Circle,Sheshadripuram,HIGH,63.5,3.9,23.8,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,672.0,1385.0,Late night (11pm–4am),True
31,Siddalingaiah Circle,Cubbon Park,HIGH,63.5,3.2,20.6,Static post (peak only),1,False,7:00 PM – 1:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,"Metro zone, Event venue",True,True,220.0,183.0,Evening + night (7pm–midnight),False
32,HAL Old Airport area,HAL Old Airport,HIGH,63.4,21.0,26.0,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,1087.0,1977.0,Late night (11pm–4am),True
33,Rajajinagar area,Rajajinagar,HIGH,63.2,5.8,28.4,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,6435.0,2768.0,Evening + night (7pm–midnight),True
34,R.T. Nagar area,R.T. Nagar,HIGH,63.2,2.6,21.4,Static post (peak only),1,False,7:00 PM – 1:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,"Metro zone, Event venue",True,True,169.0,418.0,Evening + night (7pm–midnight),True
35,Windsor Circle,High ground,HIGH,62.9,26.7,9.0,Static post (peak only),1,False,11:00 PM – 5:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,Metro zone,True,False,109.0,773.0,Late night (11pm–4am),True
36,"Sri Hatti Maramma Circle, Domluru",Halasur,HIGH,62.9,4.1,21.1,Static post (peak only),1,False,11:00 PM – 5:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,Event venue,False,True,650.0,433.0,Late night (11pm–4am),True
37,HSR Layout area,HSR Layout,HIGH,62.7,8.4,18.9,Static post (peak only),1,False,"6:00 AM – 10:00 AM, 5:00 PM – 9:00 PM",30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,Event venue,False,True,549.0,432.0,Mixed / daytime,True
38,Hosahalli Metro Station,Vijayanagara,HIGH,62.6,31.0,9.8,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,3002.0,4184.0,Late night (11pm–4am),True
39,Adugodi area,Adugodi,HIGH,62.6,3.5,25.6,Mobile patrol,1,False,11:00 PM – 5:00 AM,20–35% blockage reduction,Single-officer mobile; escalate to static if violations exceed 20/night,General,False,False,570.0,720.0,Late night (11pm–4am),False
40,"BMTC Junction, KH Road",Wilson Garden,HIGH,61.9,2.7,23.4,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,1925.0,1930.0,Late night (11pm–4am),True
41,CID Carlton House Junction,Cubbon Park,HIGH,61.7,3.9,22.2,Static post (peak only),1,False,11:00 PM – 5:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,"Metro zone, Event venue",True,True,431.0,501.0,Late night (11pm–4am),False
42,"17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar,HIGH,61.4,8.8,17.7,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,985.0,945.0,Evening + night (7pm–midnight),True
43,"5th Main Road, RPC Layout",Vijayanagara,HIGH,61.3,19.8,13.4,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,4099.0,5335.0,Evening + night (7pm–midnight),True
44,Mahadevapura area,Mahadevapura,HIGH,61.2,14.3,20.7,Static post (peak only),1,False,7:00 PM – 1:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,Event venue,False,True,2355.0,177.0,Evening + night (7pm–midnight),True
45,Jeevanbheemanagar area,Jeevanbheemanagar,HIGH,60.6,10.8,14.0,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,554.0,989.0,Evening + night (7pm–midnight),True
46,Madiwala Check Post,Mico Layout,HIGH,60.1,3.8,28.7,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,2349.0,1357.0,Evening + night (7pm–midnight),True
47,Yelahanka area,Yelahanka,HIGH,59.7,6.9,19.9,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,5809.0,7510.0,Late night (11pm–4am),True
48,Tagore Park Junction,Basavanagudi,HIGH,59.5,13.7,13.7,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,3708.0,3614.0,Evening + night (7pm–midnight),True
49,Madiwala Traffic PS Junction,Madiwala,HIGH,59.4,6.2,25.9,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,1395.0,890.0,Late night (11pm–4am),True
50,Gali Anjaneya Temple,Byatarayanapura,HIGH,59.1,10.3,17.8,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,4338.0,5436.0,Evening + night (7pm–midnight),True
51,Coffee Board Junction,Cubbon Park,HIGH,58.8,2.9,20.5,Mobile patrol,1,False,11:00 PM – 5:00 AM,20–35% blockage reduction,Single-officer mobile; escalate to static if violations exceed 20/night,General,False,False,530.0,741.0,Late night (11pm–4am),False
52,Hulimavu area,Hulimavu,HIGH,58.8,4.1,33.2,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,1322.0,3150.0,Late night (11pm–4am),True
53,Rajajinagar Entrance,Magadi Road,HIGH,58.4,5.2,16.0,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,1862.0,3378.0,Evening + night (7pm–midnight),True
54,R.T. Nagar area,R.T. Nagar,HIGH,58.1,5.1,20.4,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,1155.0,1381.0,Evening + night (7pm–midnight),True
55,Jeevanbheemanagar area,Jeevanbheemanagar,HIGH,57.4,6.5,14.4,Static post (peak only),1,False,7:00 PM – 1:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,Metro zone,True,False,90.0,1188.0,Evening + night (7pm–midnight),True
56,Banaswadi area,Banaswadi,HIGH,57.4,6.0,25.1,Static post (peak only),1,False,11:00 PM – 5:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,"Metro zone, Event venue",True,True,373.0,373.0,Late night (11pm–4am),False
57,Bellandur area,Bellandur,HIGH,56.5,3.4,18.1,Static post (peak only),1,False,7:00 PM – 1:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,Event venue,False,True,3925.0,411.0,Evening + night (7pm–midnight),True
58,Adugodi area,Adugodi,HIGH,55.8,11.6,17.9,Static post (peak only),1,False,7:00 PM – 1:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,"Metro zone, Event venue",True,True,121.0,578.0,Evening + night (7pm–midnight),True
59,Sadashivanagar area,Sadashivanagar,HIGH,55.4,6.5,22.0,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,2379.0,2478.0,Evening + night (7pm–midnight),True
60,HAL Old Airport area,HAL Old Airport,HIGH,54.9,2.8,23.2,Mobile patrol,1,False,11:00 PM – 5:00 AM,20–35% blockage reduction,Single-officer mobile; escalate to static if violations exceed 20/night,General,False,False,642.0,642.0,Late night (11pm–4am),False
61,K.G. Halli area,K.G. Halli,HIGH,54.4,10.5,32.9,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,2954.0,890.0,Late night (11pm–4am),True
62,Hulimavu area,Hulimavu,HIGH,54.0,6.0,33.3,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,1549.0,3852.0,Late night (11pm–4am),True
63,Dairy Circle,Mico Layout,HIGH,54.0,2.4,19.1,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,3238.0,1872.0,Late night (11pm–4am),True
64,Peenya area,Peenya,HIGH,53.9,4.1,27.4,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,8533.0,5188.0,Evening + night (7pm–midnight),True
65,JC Road Junction,City Market,HIGH,53.8,5.4,19.2,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,2026.0,1782.0,Late night (11pm–4am),True
66,Vanivillas Junction,Basavanagudi,HIGH,53.1,5.0,19.0,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,4030.0,4097.0,Late night (11pm–4am),True
67,Wilson Garden area,Wilson Garden,HIGH,52.1,1.6,25.2,Mobile patrol,1,False,11:00 PM – 5:00 AM,20–35% blockage reduction,Single-officer mobile; escalate to static if violations exceed 20/night,General,False,False,3652.0,2220.0,Late night (11pm–4am),False
68,Leprosy Hospital Junction,Magadi Road,HIGH,52.0,11.4,11.7,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,1498.0,3131.0,Evening + night (7pm–midnight),True
69,HSR Layout area,HSR Layout,HIGH,52.0,4.4,27.3,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,615.0,1128.0,Evening + night (7pm–midnight),True
70,Sirsi Circle,Magadi Road,HIGH,51.9,5.9,15.3,Mobile patrol,2,False,7:00 PM – 1:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,2533.0,3795.0,Evening + night (7pm–midnight),True
71,Bellandur area,Bellandur,HIGH,51.8,3.0,19.7,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,3475.0,1486.0,Late night (11pm–4am),True
72,Kodigehalli area,Kodigehalli,HIGH,51.3,6.3,18.8,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,708.0,2292.0,Late night (11pm–4am),True
73,K.R. Pura area,K.R. Pura,HIGH,51.2,2.3,26.2,Mobile patrol,1,False,7:00 PM – 1:00 AM,20–35% blockage reduction,Single-officer mobile; escalate to static if violations exceed 20/night,General,False,False,8675.0,6777.0,Evening + night (7pm–midnight),False
74,Hosur-Tavarkere Road Junction,Mico Layout,HIGH,50.3,3.6,23.9,Mobile patrol,2,False,11:00 PM – 5:00 AM,25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,2631.0,1888.0,Late night (11pm–4am),True
75,R.T. Nagar area,R.T. Nagar,HIGH,50.2,7.1,21.1,Static post (peak only),1,False,11:00 PM – 5:00 AM,30–45% blockage reduction,Deploy at metro exit / venue gate; peak-hours only to maximise coverage,"Metro zone, Event venue",True,True,492.0,295.0,Late night (11pm–4am),True
76,Jnanabharathi area,Jnanabharathi,HIGH,50.0,4.0,23.2,Mobile patrol,2,False,"6:00 AM – 10:00 AM, 5:00 PM – 9:00 PM",25–40% blockage reduction,Circuit patrol covering full corridor; radio coordination with adjacent zones,General,False,False,6951.0,7332.0,Mixed / daytime,True
77,"Sahasra Hospital, Jayanagar",Banashankari,MEDIUM,49.8,4.5,16.3,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,6255.0,3003.0,Evening + night (7pm–midnight),True
78,Bellandur area,Bellandur,MEDIUM,49.2,2.8,18.2,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,3696.0,725.0,Late night (11pm–4am),True
79,Yeshwanthpura area,Yeshwanthpura,MEDIUM,48.8,4.6,17.6,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,4065.0,898.0,Late night (11pm–4am),True
80,Mahadevapura area,Mahadevapura,MEDIUM,48.5,2.9,26.2,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2692.0,929.0,Late night (11pm–4am),False
81,HSR Layout area,HSR Layout,MEDIUM,48.3,12.9,11.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,570.0,1346.0,Mixed / daytime,True
82,Rajajinagar Entrance,Rajajinagar,MEDIUM,48.3,5.6,19.6,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,1499.0,3094.0,Evening + night (7pm–midnight),True
83,Jnanabharathi area,Jnanabharathi,MEDIUM,48.1,2.6,21.3,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,7118.0,6723.0,Late night (11pm–4am),False
84,UCO Bank Junction,Adugodi,MEDIUM,47.8,11.0,15.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,1759.0,1009.0,Mixed / daytime,True
85,Pulikeshinagar(F.Town) area,Pulikeshinagar(F.Town),MEDIUM,47.8,13.5,13.2,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2222.0,1848.0,Evening + night (7pm–midnight),True
86,"Aurobindo Circle, ORR",Jayanagara,MEDIUM,47.7,2.2,21.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,5047.0,1792.0,Evening + night (7pm–midnight),False
87,Safina Plaza Junction,Cubbon Park,MEDIUM,47.2,3.7,15.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,Event venue,False,True,517.0,447.0,Mixed / daytime,True
88,Adugodi area,Adugodi,MEDIUM,46.2,2.4,14.1,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,Event venue,False,True,623.0,296.0,Evening + night (7pm–midnight),False
89,Kodigehalli area,Kodigehalli,MEDIUM,45.8,3.3,24.6,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,1584.0,3233.0,Mixed / daytime,True
90,Chikkajala area,Chikkajala,MEDIUM,45.8,5.0,27.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,9273.0,10215.0,Evening + night (7pm–midnight),True
91,Rajajinagar area,Rajajinagar,MEDIUM,45.7,3.2,30.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,5851.0,3472.0,Evening + night (7pm–midnight),True
92,Kodigehalli area,Kodigehalli,MEDIUM,45.6,36.3,9.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,3067.0,4704.0,Evening + night (7pm–midnight),True
93,Havanur Circle,Vijayanagara,MEDIUM,45.6,9.1,16.3,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,4090.0,3162.0,Evening + night (7pm–midnight),True
94,Yediyur Junction,Basavanagudi,MEDIUM,45.2,3.9,23.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,4120.0,3308.0,Late night (11pm–4am),False
95,Peenya area,Peenya,MEDIUM,45.2,2.6,18.2,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,9760.0,6548.0,Evening + night (7pm–midnight),False
96,Kodigehalli area,Kodigehalli,MEDIUM,44.5,9.8,14.2,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2334.0,3035.0,Late night (11pm–4am),True
97,HSR Layout area,HSR Layout,MEDIUM,44.4,2.2,19.5,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,911.0,1590.0,Evening + night (7pm–midnight),True
98,K.R. Pura area,K.R. Pura,MEDIUM,44.4,14.1,18.6,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,3438.0,1477.0,Evening + night (7pm–midnight),True
99,"10th Cross, Wilson Garden",Wilson Garden,MEDIUM,44.0,3.9,14.9,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,2835.0,2856.0,Evening + night (7pm–midnight),True
100,Nanjappa Circle,Ashok Nagar,MEDIUM,43.9,15.2,9.0,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,949.0,1146.0,Late night (11pm–4am),True
101,"9th Cross, Kanakapura Road",J.P. Nagar,MEDIUM,43.6,3.5,20.1,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,6240.0,3133.0,Late night (11pm–4am),True
102,R.T. Nagar area,R.T. Nagar,MEDIUM,43.3,8.9,15.6,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,Metro zone,True,False,395.0,894.0,Evening + night (7pm–midnight),True
103,"Rajalakshmi Kalyana Mantapa, JP Nagar",Jayanagara,MEDIUM,43.2,3.0,20.5,Camera monitor,0,False,Reactive (on alert),10–20% blockage reduction,Flag for reactive dispatch; review monthly for tier upgrade,General,False,False,5732.0,2480.0,Late night (11pm–4am),True
